2025-09-07 at 13:42:48 | INFO | Бот запущен...
2025-09-07 at 13:42:48 | INFO | Redis подключен успешно
2025-09-07 at 13:42:49 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 13:45:56 | INFO | Бот остановлен...
2025-09-07 at 13:45:56 | INFO | Redis соединение закрыто
2025-09-07 at 15:21:38 | INFO | Бот запущен...
2025-09-07 at 15:21:38 | INFO | Redis подключен успешно
2025-09-07 at 15:21:39 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:22:32 | INFO | Создана новая комната 10_f2d65f1f пользователем 5254325840
2025-09-07 at 15:23:45 | INFO | Бот остановлен...
2025-09-07 at 15:23:45 | INFO | Redis соединение закрыто
2025-09-07 at 15:32:20 | INFO | Бот запущен...
2025-09-07 at 15:32:20 | INFO | Redis подключен успешно
2025-09-07 at 15:32:21 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:33:17 | INFO | Создана новая комната 10_1d014803 пользователем 5254325840
2025-09-07 at 15:34:32 | INFO | Бот остановлен...
2025-09-07 at 15:34:32 | INFO | Redis соединение закрыто
2025-09-07 at 15:34:43 | INFO | Бот запущен...
2025-09-07 at 15:34:43 | INFO | Redis подключен успешно
2025-09-07 at 15:34:44 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:39:33 | INFO | Бот остановлен...
2025-09-07 at 15:39:33 | INFO | Redis соединение закрыто
2025-09-07 at 15:39:39 | INFO | Бот запущен...
2025-09-07 at 15:39:39 | INFO | Redis подключен успешно
2025-09-07 at 15:39:40 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:40:25 | INFO | Бот остановлен...
2025-09-07 at 15:40:25 | INFO | Redis соединение закрыто
2025-09-07 at 15:40:37 | INFO | Бот запущен...
2025-09-07 at 15:40:37 | INFO | Redis подключен успешно
2025-09-07 at 15:40:38 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:41:09 | INFO | Бот остановлен...
2025-09-07 at 15:41:09 | INFO | Redis соединение закрыто
2025-09-07 at 15:41:22 | INFO | Бот запущен...
2025-09-07 at 15:41:22 | INFO | Redis подключен успешно
2025-09-07 at 15:41:26 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:42:06 | INFO | Бот остановлен...
2025-09-07 at 15:42:06 | INFO | Redis соединение закрыто
2025-09-07 at 15:42:18 | INFO | Бот запущен...
2025-09-07 at 15:42:18 | INFO | Redis подключен успешно
2025-09-07 at 15:42:19 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
2025-09-07 at 15:42:53 | INFO | Бот остановлен...
2025-09-07 at 15:42:53 | INFO | Redis соединение закрыто
2025-09-07 at 15:43:05 | INFO | Бот запущен...
2025-09-07 at 15:43:05 | INFO | Redis подключен успешно
2025-09-07 at 15:43:07 | SUCCESS | Вебхук установлен: https://bursting-smart-eagle.ngrok-free.app/webhook
